feature,importance_mean,importance_std
diepte_mtaw_whole_max,0.04915079111238272,0.010882915611156823
diepte_mtaw_whole_q10,0.04847965305510456,0.004960386557954466
diepte_mtaw_whole_min,0.04154951007185555,0.00943146615103796
diepte_mtaw_whole_q50,0.032679145749378226,0.0007460766858958256
diepte_mtaw_whole_q01,0.03164111824396658,0.001361293919471272
diepte_mtaw_whole_q90,0.030942096166413236,0.0009007281200018654
diepte_mtaw_whole_q99,0.028311391480655267,0.0004661026098831571
diepte_mtaw_whole_trimmed_mean,0.026859058239709643,0.0009029906295597391
diepte_mtaw_whole_kurtosis,0.02580201575281229,0.007242762348807622
diepte_max,0.025469736240856578,0.004505392701792119
diepte_mtaw_whole_cv,0.025147308795673708,0.0010160683457509
diepte_mtaw_whole_median,0.025012822521947697,0.007423970110850222
qc_q50,0.02246401275615071,0.001657727491665892
diepte_whole_entropy,0.021776803216219043,0.012508029533446857
qc_q99,0.02041868533971214,0.0016495278071197007
diepte_q90,0.02015085275030981,0.0009671165086428029
diepte_mtaw_whole_mean,0.019188821543132773,0.00643748793351622
diepte_q99,0.018349077896853184,0.006787899100160297
qc_q10,0.017664716131618175,0.001318199992661247
qc_p99,0.01754772559374842,0.0005016670545249204
diepte_q10,0.016840615232050937,0.0007668181623800518
diepte_q01,0.016396611417706076,0.0005605800529432007
diepte_cv,0.01570531640168569,0.0006487377888912358
qc_mean,0.015629020643703063,0.000806370754694795
diepte_median,0.01490226812896751,0.006402927514599811
rf_mean,0.014663919232437327,0.005487974147408674
diepte_trimmed_mean,0.014237341220539611,0.00044438782912254365
qc_median,0.012795738139832457,0.006455350286402947
fs_q90,0.012658893295639895,0.0006853187534552659
diepte_whole_iqr,0.012658181233531263,0.006380585047627782
qc_min,0.01259391345296299,0.006845765649823806
rf_q90,0.012541115911018053,0.006743664702212452
rf_q10,0.012254228399981604,0.0006394121746995633
qtn_q01,0.012140246181251068,0.0008897560285539427
qc_trimmed_mean,0.011604521436924609,0.000721821360197467
diepte_mean,0.011204382799131496,0.0062363838142208946
qtn_min,0.0111338474363035,0.0008700956049516864
qc_q01,0.011009363409195538,0.006449772839499232
qtn_q99,0.01095248196089027,0.000693246222053358
qtn_q50,0.010800432572059804,0.0008836151150941334
rf_trimmed_mean,0.01014926844829287,0.00047614237463230227
fs_q10,0.010102741073065058,0.0005208785922399468
fs_q99,0.010080141654119945,0.0004552211576435754
qtn_trimmed_mean,0.00997379683722428,0.0004007874648957191
fs_trimmed_mean,0.00973500823382496,0.0009139065323112665
fr_mean,0.009716120795416061,0.0005739114160316946
diepte_whole_q01,0.009470702103544105,0.0065959165258110105
fr_median,0.009389530821414938,0.0002495238607144358
fr_trimmed_mean,0.009312543178454046,0.0003003585547720417
qtn_q90,0.009272624561850695,0.000611207766138816
